Session Category,Session Length,Break Category,Break Duration,Difficulty,Time of Day,Fatigue,Recovery Index,Performance,Error Count
Short,32.49080237694725,Short,9.75357153204958,Low,Morning,0.6498160475389451,2.375237934935162,128.35208743194235,2
Short,28.119890406724053,Short,5.290418060840997,Low,Morning,0.562397808134481,1.83902753286633,124.14982245479618,3
Short,44.39819704323989,Short,9.162213204002109,Low,Morning,0.8879639408647978,2.318676253467306,127.66144608687367,0
Short,28.636499344142013,Short,5.917022549267169,Low,Morning,0.5727299868828403,1.933985409591039,124.89915328984549,0
Short,35.49512863264476,Short,7.159725093210579,Low,Morning,0.7099025726528951,2.0992104788509827,126.08378125815499,0
Short,37.23705789444759,Short,5.697469303260209,Low,Morning,0.7447411578889518,1.901729739112978,124.46909675501489,0
Short,32.327236865873836,Short,7.28034992108518,Low,Morning,0.6465447373174767,2.113885228504823,126.26453709072112,1
Short,35.28468876827223,Short,7.962072844310212,Low,Morning,0.7056937753654446,2.1930015444619393,126.83831858033008,0
Short,37.150897038028766,Short,5.8526206184364575,Low,Morning,0.7430179407605754,1.9246311511466316,124.65403126841248,0
Short,43.977710745066666,Short,9.828160165372797,Low,Morning,0.8795542149013333,2.382150163420714,128.17764709246438,1
Short,26.95344228012768,Short,8.421165132560784,Low,Morning,0.5390688456025535,2.2429587680480156,127.40460129878159,1
Short,34.903538202225405,Short,5.171942605576092,Low,Morning,0.6980707640445081,1.8200136352963179,123.86203831832606,1
Short,38.25044568707964,Short,6.558555380447054,Low,Morning,0.7650089137415929,2.0226800846894952,125.41643176377438,1
Short,28.69708911051054,Short,9.847923138822793,Low,Morning,0.5739417822102107,2.3839736458874294,128.49784738488924,4
Short,26.76985004103839,Short,5.979914312095726,Low,Morning,0.5353970008207678,1.9430366404948771,125.00889612313827,0
Short,31.506606615265287,Short,6.94338644844741,Low,Morning,0.6301321323053057,2.0723396891739503,125.9485853810863,0
Short,41.57475018303859,Short,6.7837666334679465,Low,Morning,0.8314950036607718,2.052040364150107,125.5848279095401,0
Short,35.85392166316497,Short,5.704621124873813,Low,Morning,0.7170784332632993,1.9027970087797244,124.50529763697452,1
Short,44.73773873201034,Short,8.861223846483288,Low,Morning,0.8947547746402069,2.2886102832733894,127.41412749154692,0
Short,25.110442342472048,Short,9.07730714227417,Low,Morning,0.502208846849441,2.3102860783687715,127.98007978010074,3
Short,32.169314570885454,Short,5.579345297625649,Low,Morning,0.6433862914177091,1.8839352415458008,124.42809564094871,2
Short,26.27116700572047,Short,6.554911608578311,Low,Morning,0.5254233401144094,2.0221978959313516,125.65215982733642,0
Short,39.59212356676128,Short,8.187787356776065,Low,Morning,0.7918424713352257,2.217875140977849,126.95115865648758,2
Short,39.2648957444599,Short,8.803925243084487,Low,Morning,0.785297914889198,2.2827828404924135,127.47696480905012,2
